Passenger_Record_ID,Flight_ID,Passenger_Count,Ticket_Class,Ticket_Revenue
180,180,115,Business,920000
181,181,71,Economy,213000
182,182,193,Economy,579000
183,183,148,Business,1184000
184,184,169,Business,1352000
185,185,92,Economy,276000
186,186,146,Economy,438000
187,187,147,Business,1176000
188,188,165,Business,1320000
189,189,197,Economy,591000
190,190,187,Economy,561000
191,191,196,Business,1568000
192,192,61,Business,488000
193,193,187,Economy,561000
194,194,120,Economy,360000
195,195,233,Economy,699000
196,196,153,Business,1224000
197,197,60,Economy,180000
198,198,110,Business,880000
199,199,175,Economy,525000
200,200,215,Economy,645000
201,201,66,Business,528000
202,202,103,Business,824000
203,203,222,Business,1776000
204,204,202,Economy,606000
205,205,155,Economy,465000
206,206,208,Business,1664000
207,207,155,Economy,465000
208,208,242,Business,1936000
209,209,88,Economy,264000
210,210,69,Economy,207000
211,211,122,Business,976000
212,212,92,Business,736000
213,213,165,Business,1320000
214,214,243,Economy,729000
215,215,178,Economy,534000
216,216,104,Economy,312000
217,217,157,Economy,471000
218,218,152,Business,1216000
219,219,228,Business,1824000
220,220,182,Economy,546000
221,221,189,Business,1512000
222,222,63,Economy,189000
223,223,237,Business,1896000
224,224,152,Business,1216000
225,225,89,Economy,267000
226,226,157,Economy,471000
227,227,186,Business,1488000
228,228,219,Economy,657000
229,229,91,Business,728000
230,230,82,Economy,246000
231,231,74,Business,592000
232,232,167,Economy,501000
233,233,127,Business,1016000
234,234,58,Economy,174000
235,235,168,Business,1344000
236,236,168,Business,1344000
237,237,140,Economy,420000
238,238,221,Business,1768000
239,239,107,Economy,321000
240,240,202,Economy,606000
241,241,165,Business,1320000
242,242,81,Economy,243000
243,243,71,Economy,213000
244,244,142,Economy,426000
245,245,104,Economy,312000
246,246,238,Economy,714000
247,247,157,Business,1256000
248,248,234,Economy,702000
249,249,126,Economy,378000
250,250,110,Business,880000
251,251,171,Economy,513000
252,252,141,Economy,423000
253,253,116,Business,928000
254,254,179,Business,1432000
255,255,163,Business,1304000
256,256,234,Economy,702000
257,257,170,Economy,510000
258,258,210,Business,1680000
259,259,112,Business,896000
260,260,193,Business,1544000
261,261,178,Economy,534000
262,262,134,Business,1072000
263,263,113,Economy,339000
264,264,169,Business,1352000
265,265,118,Economy,354000
266,266,173,Business,1384000
267,267,170,Business,1360000
268,268,194,Business,1552000
269,269,89,Business,712000
270,270,151,Economy,453000
271,271,178,Business,1424000
272,272,62,Business,496000
273,273,67,Business,536000
274,274,117,Economy,351000
275,275,160,Business,1280000
276,276,63,Business,504000
277,277,182,Business,1456000
278,278,111,Economy,333000
279,279,210,Economy,630000
280,280,75,Economy,225000
281,281,238,Economy,714000
282,282,245,Economy,735000
283,283,79,Economy,237000
284,284,239,Business,1912000
285,285,111,Economy,333000
286,286,130,Business,1040000
287,287,119,Business,952000
288,288,234,Business,1872000
289,289,140,Economy,420000
290,290,85,Economy,255000
291,291,56,Business,448000
292,292,114,Business,912000
293,293,126,Business,1008000
294,294,90,Economy,270000
295,295,81,Business,648000
296,296,191,Business,1528000
297,297,210,Business,1680000
298,298,79,Economy,237000
299,299,55,Economy,165000
300,300,59,Economy,177000
301,301,152,Economy,456000
302,302,69,Economy,207000
303,303,138,Business,1104000
304,304,173,Business,1384000
305,305,167,Business,1336000
306,306,61,Economy,183000
307,307,71,Business,568000
308,308,125,Economy,375000
309,309,63,Economy,189000
310,310,155,Business,1240000
311,311,225,Business,1800000
312,312,231,Business,1848000
313,313,85,Economy,255000
314,314,238,Business,1904000
315,315,104,Business,832000
316,316,63,Business,504000
317,317,51,Economy,153000
318,318,51,Economy,153000
319,319,110,Business,880000
320,320,156,Economy,468000
321,321,156,Business,1248000
322,322,183,Economy,549000
323,323,202,Business,1616000
324,324,244,Economy,732000
325,325,72,Economy,216000
326,326,122,Business,976000
327,327,144,Economy,432000
328,328,77,Business,616000
329,329,74,Business,592000
330,330,148,Business,1184000
331,331,114,Economy,342000
332,332,243,Economy,729000
333,333,92,Business,736000
334,334,89,Business,712000
335,335,72,Economy,216000
336,336,226,Business,1808000
337,337,57,Business,456000
338,338,177,Business,1416000
339,339,56,Business,448000
340,340,70,Economy,210000
341,341,84,Business,672000
342,342,150,Economy,450000
343,343,148,Economy,444000
344,344,131,Economy,393000
345,345,110,Economy,330000
346,346,123,Business,984000
347,347,245,Business,1960000
348,348,207,Business,1656000
349,349,158,Business,1264000
350,350,117,Economy,351000
351,351,186,Economy,558000
352,352,66,Economy,198000
353,353,92,Business,736000
354,354,152,Economy,456000
355,355,137,Economy,411000
356,356,234,Business,1872000
357,357,152,Economy,456000
358,358,190,Economy,570000
359,359,234,Business,1872000
360,360,203,Economy,609000
361,361,238,Economy,714000
362,362,111,Economy,333000
363,363,68,Economy,204000
364,364,130,Economy,390000
365,365,79,Business,632000
366,366,176,Economy,528000
367,367,62,Economy,186000
368,368,226,Business,1808000
369,369,131,Business,1048000
370,370,170,Economy,510000
371,371,165,Business,1320000
372,372,228,Economy,684000
373,373,160,Economy,480000
374,374,58,Business,464000
375,375,78,Economy,234000
376,376,142,Business,1136000
377,377,159,Economy,477000
378,378,185,Business,1480000
379,379,157,Business,1256000
380,380,130,Economy,390000
381,381,64,Business,512000
382,382,246,Economy,738000
383,383,211,Economy,633000
384,384,229,Economy,687000
385,385,227,Economy,681000
386,386,244,Business,1952000
387,387,54,Economy,162000
388,388,147,Business,1176000
389,389,58,Business,464000
390,390,54,Economy,162000
391,391,204,Economy,612000
392,392,162,Economy,486000
393,393,166,Economy,498000
394,394,133,Business,1064000
395,395,96,Business,768000
396,396,111,Business,888000
397,397,94,Economy,282000
398,398,115,Economy,345000
399,399,72,Economy,216000
400,400,147,Business,1176000
401,401,238,Economy,714000
402,402,142,Business,1136000
403,403,92,Economy,276000
404,404,212,Business,1696000
405,405,207,Economy,621000
406,406,116,Economy,348000
407,407,187,Business,1496000
408,408,177,Business,1416000
409,409,105,Business,840000
410,410,83,Business,664000
411,411,114,Business,912000
412,412,55,Business,440000
413,413,247,Business,1976000
414,414,220,Business,1760000
415,415,65,Business,520000
416,416,240,Business,1920000
417,417,242,Business,1936000
418,418,182,Economy,546000
419,419,74,Business,592000
420,420,76,Business,608000
421,421,219,Business,1752000
422,422,166,Business,1328000
423,423,173,Business,1384000
424,424,104,Economy,312000
425,425,156,Economy,468000
426,426,75,Business,600000
427,427,65,Business,520000
428,428,158,Business,1264000
429,429,157,Business,1256000
430,430,139,Economy,417000
431,431,150,Business,1200000
432,432,205,Economy,615000
433,433,207,Economy,621000
434,434,175,Economy,525000
435,435,171,Economy,513000
436,436,138,Business,1104000
437,437,222,Economy,666000
438,438,196,Business,1568000
439,439,62,Economy,186000
440,440,124,Business,992000
441,441,161,Business,1288000
442,442,200,Economy,600000
443,443,63,Economy,189000
444,444,147,Economy,441000
445,445,153,Economy,459000
446,446,200,Business,1600000
447,447,217,Economy,651000
448,448,113,Economy,339000
449,449,236,Business,1888000
450,450,69,Business,552000
451,451,209,Business,1672000
452,452,127,Business,1016000
453,453,73,Business,584000
454,454,95,Economy,285000
455,455,67,Economy,201000
456,456,160,Economy,480000
457,457,143,Business,1144000
458,458,225,Economy,675000
459,459,191,Economy,573000
460,460,231,Economy,693000
461,461,198,Business,1584000
462,462,147,Business,1176000
463,463,54,Economy,162000
464,464,177,Economy,531000
465,465,208,Economy,624000
466,466,244,Economy,732000
467,467,136,Business,1088000
468,468,169,Business,1352000
469,469,236,Business,1888000
470,470,221,Business,1768000
471,471,113,Business,904000
472,472,143,Economy,429000
473,473,219,Business,1752000
474,474,170,Business,1360000
475,475,149,Economy,447000
476,476,215,Business,1720000
477,477,184,Economy,552000
478,478,108,Business,864000
479,479,118,Business,944000
480,480,247,Business,1976000
481,481,98,Economy,294000
482,482,60,Economy,180000
483,483,150,Economy,450000
484,484,179,Business,1432000
485,485,159,Economy,477000
486,486,76,Economy,228000
487,487,193,Business,1544000
488,488,113,Business,904000
489,489,243,Business,1944000
490,490,226,Business,1808000
491,491,139,Economy,417000
492,492,65,Economy,195000
493,493,122,Economy,366000
494,494,229,Business,1832000
495,495,165,Business,1320000
496,496,182,Business,1456000
497,497,213,Economy,639000
498,498,56,Economy,168000
499,499,110,Economy,330000
500,500,145,Economy,435000
501,501,206,Business,1648000
502,502,169,Business,1352000
503,503,244,Business,1952000
504,504,207,Economy,621000
505,505,217,Economy,651000
506,506,80,Economy,240000
507,507,97,Economy,291000
508,508,140,Business,1120000
509,509,55,Business,440000
510,510,239,Economy,717000
511,511,78,Economy,234000
512,512,186,Economy,558000
513,513,231,Business,1848000
514,514,133,Economy,399000
515,515,163,Economy,489000
516,516,188,Economy,564000
517,517,68,Economy,204000
518,518,123,Business,984000
519,519,182,Business,1456000
520,520,152,Business,1216000
521,521,119,Business,952000
522,522,144,Business,1152000
523,523,67,Economy,201000
524,524,70,Economy,210000
525,525,192,Economy,576000
526,526,236,Economy,708000
527,527,55,Economy,165000
528,528,73,Economy,219000
529,529,109,Business,872000
530,530,77,Economy,231000
531,531,123,Economy,369000
532,532,72,Business,576000
533,533,128,Business,1024000
534,534,95,Business,760000
535,535,161,Economy,483000
536,536,86,Economy,258000
537,537,191,Business,1528000
538,538,97,Business,776000
539,539,127,Business,1016000
540,540,248,Business,1984000
541,541,164,Economy,492000
542,542,85,Business,680000
543,543,109,Business,872000
544,544,231,Economy,693000
545,545,128,Economy,384000
546,546,162,Business,1296000
547,547,240,Economy,720000
548,548,146,Economy,438000
549,549,160,Business,1280000
550,550,97,Business,776000
551,551,169,Economy,507000
552,552,199,Business,1592000
553,553,92,Business,736000
554,554,90,Economy,270000
555,555,194,Economy,582000
556,556,112,Economy,336000
557,557,195,Economy,585000
558,558,121,Economy,363000
559,559,52,Business,416000
560,560,103,Economy,309000
561,561,168,Business,1344000
562,562,191,Business,1528000
563,563,83,Business,664000
564,564,176,Business,1408000
565,565,175,Business,1400000
566,566,50,Economy,150000
567,567,225,Business,1800000
568,568,148,Business,1184000
569,569,59,Economy,177000
570,570,132,Business,1056000
571,571,188,Economy,564000
572,572,168,Business,1344000
573,573,176,Economy,528000
574,574,148,Economy,444000
575,575,115,Business,920000
576,576,52,Economy,156000
577,577,192,Economy,576000
578,578,108,Business,864000
579,579,154,Business,1232000
580,580,241,Business,1928000
581,581,224,Business,1792000
582,582,141,Business,1128000
583,583,179,Business,1432000
584,584,207,Economy,621000
585,585,215,Business,1720000
586,586,54,Business,432000
587,587,183,Business,1464000
588,588,182,Business,1456000
589,589,61,Business,488000
590,590,181,Business,1448000
591,591,201,Business,1608000
592,592,202,Business,1616000
593,593,75,Business,600000
594,594,104,Economy,312000
595,595,175,Economy,525000
596,596,95,Economy,285000
597,597,223,Business,1784000
598,598,92,Business,736000
599,599,237,Economy,711000
600,600,210,Business,1680000
601,601,70,Economy,210000
602,602,214,Business,1712000
603,603,61,Business,488000
604,604,150,Business,1200000
605,605,198,Business,1584000
606,606,190,Economy,570000
607,607,166,Business,1328000
608,608,82,Economy,246000
609,609,247,Business,1976000
610,610,125,Economy,375000
611,611,238,Business,1904000
612,612,169,Business,1352000
613,613,207,Business,1656000
614,614,86,Business,688000
615,615,131,Economy,393000
616,616,193,Economy,579000
617,617,94,Economy,282000
618,618,248,Economy,744000
619,619,178,Economy,534000
620,620,230,Business,1840000
621,621,77,Economy,231000
622,622,230,Economy,690000
623,623,93,Economy,279000
624,624,116,Business,928000
625,625,156,Economy,468000
626,626,216,Economy,648000
627,627,59,Economy,177000
628,628,100,Economy,300000
629,629,158,Business,1264000
630,630,191,Business,1528000
631,631,128,Economy,384000
632,632,183,Business,1464000
633,633,216,Business,1728000
634,634,129,Economy,387000
635,635,131,Business,1048000
636,636,148,Business,1184000
637,637,225,Business,1800000
638,638,202,Business,1616000
639,639,169,Business,1352000
640,640,82,Business,656000
641,641,132,Business,1056000
642,642,151,Business,1208000
643,643,124,Economy,372000
644,644,169,Business,1352000
645,645,244,Business,1952000
646,646,151,Business,1208000
647,647,114,Economy,342000
648,648,217,Economy,651000
649,649,74,Business,592000
650,650,106,Economy,318000
651,651,209,Economy,627000
652,652,95,Business,760000
653,653,149,Economy,447000
654,654,181,Economy,543000
655,655,168,Economy,504000
656,656,200,Economy,600000
657,657,129,Economy,387000
658,658,124,Economy,372000
659,659,199,Economy,597000
660,660,152,Business,1216000
661,661,175,Economy,525000
662,662,82,Economy,246000
663,663,90,Economy,270000
664,664,239,Business,1912000
665,665,215,Business,1720000
666,666,233,Business,1864000
667,667,112,Economy,336000
668,668,134,Business,1072000
669,669,232,Economy,696000
670,670,228,Business,1824000
671,671,139,Economy,417000
672,672,114,Economy,342000
673,673,154,Economy,462000
674,674,106,Business,848000
675,675,135,Business,1080000
676,676,204,Business,1632000
677,677,234,Business,1872000
678,678,232,Business,1856000
679,679,121,Economy,363000
680,680,131,Economy,393000
681,681,53,Business,424000
682,682,114,Economy,342000
683,683,233,Business,1864000
684,684,230,Economy,690000
685,685,93,Economy,279000
686,686,65,Business,520000
687,687,143,Economy,429000
688,688,72,Business,576000
689,689,208,Economy,624000
690,690,205,Economy,615000
691,691,227,Economy,681000
692,692,150,Economy,450000
693,693,65,Business,520000
694,694,90,Business,720000
695,695,186,Economy,558000
696,696,51,Business,408000
697,697,159,Business,1272000
698,698,92,Business,736000
699,699,115,Economy,345000
700,700,145,Business,1160000
701,701,126,Business,1008000
702,702,226,Business,1808000
703,703,174,Business,1392000
704,704,146,Economy,438000
705,705,70,Economy,210000
706,706,196,Business,1568000
707,707,161,Business,1288000
708,708,106,Business,848000
709,709,126,Economy,378000
710,710,109,Business,872000
711,711,196,Business,1568000
712,712,148,Economy,444000
713,713,241,Economy,723000
714,714,84,Business,672000
715,715,175,Economy,525000
716,716,210,Economy,630000
717,717,116,Economy,348000
718,718,136,Economy,408000
719,719,97,Economy,291000
720,720,237,Economy,711000
721,721,94,Economy,282000
722,722,124,Economy,372000
723,723,117,Business,936000
724,724,245,Business,1960000
725,725,192,Economy,576000
726,726,141,Business,1128000
727,727,121,Business,968000
728,728,147,Business,1176000
729,729,64,Economy,192000
730,730,200,Business,1600000
731,731,237,Business,1896000
732,732,140,Business,1120000
733,733,191,Business,1528000
734,734,166,Economy,498000
735,735,51,Business,408000
736,736,174,Business,1392000
737,737,92,Business,736000
738,738,120,Economy,360000
739,739,193,Business,1544000
740,740,135,Economy,405000
741,741,77,Economy,231000
742,742,209,Economy,627000
743,743,120,Business,960000
744,744,156,Economy,468000
745,745,179,Economy,537000
746,746,249,Economy,747000
747,747,56,Business,448000
748,748,87,Business,696000
749,749,225,Economy,675000
750,750,156,Business,1248000
751,751,135,Business,1080000
752,752,131,Business,1048000
753,753,122,Economy,366000
754,754,51,Business,408000
755,755,91,Business,728000
756,756,219,Economy,657000
757,757,130,Economy,390000
758,758,197,Business,1576000
759,759,55,Business,440000
760,760,188,Economy,564000
761,761,246,Business,1968000
762,762,123,Economy,369000
763,763,89,Economy,267000
764,764,177,Business,1416000
765,765,85,Economy,255000
766,766,152,Business,1216000
767,767,228,Business,1824000
768,768,96,Economy,288000
769,769,147,Business,1176000
770,770,194,Business,1552000
771,771,75,Economy,225000
772,772,230,Business,1840000
773,773,176,Economy,528000
774,774,97,Economy,291000
775,775,76,Business,608000
776,776,95,Business,760000
777,777,116,Business,928000
778,778,172,Business,1376000
779,779,196,Economy,588000
780,780,121,Business,968000
781,781,130,Business,1040000
782,782,114,Business,912000
783,783,120,Economy,360000
784,784,85,Economy,255000
785,785,116,Economy,348000
786,786,132,Business,1056000
787,787,219,Economy,657000
788,788,116,Economy,348000
789,789,147,Business,1176000
790,790,118,Business,944000
791,791,226,Economy,678000
792,792,86,Economy,258000
793,793,95,Business,760000
794,794,105,Business,840000
795,795,168,Economy,504000
796,796,112,Economy,336000
797,797,127,Economy,381000
798,798,79,Economy,237000
799,799,145,Economy,435000
800,800,112,Business,896000
801,801,164,Business,1312000
802,802,158,Economy,474000
803,803,125,Business,1000000
804,804,203,Business,1624000
805,805,72,Business,576000
806,806,162,Business,1296000
807,807,197,Business,1576000
808,808,151,Economy,453000
809,809,95,Economy,285000
810,810,208,Business,1664000
811,811,244,Economy,732000
812,812,198,Business,1584000
813,813,100,Business,800000
814,814,216,Economy,648000
815,815,112,Business,896000
816,816,118,Economy,354000
817,817,69,Business,552000
818,818,168,Business,1344000
819,819,72,Business,576000
820,820,219,Economy,657000
821,821,180,Economy,540000
822,822,76,Business,608000
823,823,140,Economy,420000
824,824,129,Business,1032000
825,825,201,Economy,603000
826,826,58,Business,464000
827,827,179,Business,1432000
828,828,183,Business,1464000
829,829,120,Economy,360000
830,830,128,Business,1024000
831,831,70,Economy,210000
832,832,149,Economy,447000
833,833,206,Economy,618000
834,834,62,Economy,186000
835,835,246,Economy,738000
836,836,160,Business,1280000
837,837,152,Business,1216000
838,838,152,Economy,456000
839,839,219,Economy,657000
840,840,158,Business,1264000
841,841,169,Business,1352000
842,842,175,Economy,525000
843,843,178,Economy,534000
844,844,197,Economy,591000
845,845,220,Economy,660000
846,846,50,Business,400000
847,847,89,Business,712000
848,848,56,Economy,168000
849,849,212,Economy,636000
850,850,229,Economy,687000
851,851,83,Economy,249000
852,852,227,Business,1816000
853,853,118,Economy,354000
854,854,206,Business,1648000
855,855,163,Economy,489000
856,856,161,Business,1288000
857,857,248,Economy,744000
858,858,50,Economy,150000
859,859,122,Business,976000
860,860,235,Business,1880000
861,861,242,Business,1936000
862,862,66,Economy,198000
863,863,239,Business,1912000
864,864,154,Economy,462000
865,865,143,Economy,429000
866,866,219,Business,1752000
867,867,205,Business,1640000
868,868,52,Business,416000
869,869,54,Economy,162000
870,870,243,Economy,729000
871,871,103,Economy,309000
872,872,215,Business,1720000
873,873,93,Business,744000
874,874,125,Economy,375000
875,875,234,Business,1872000
876,876,167,Economy,501000
877,877,248,Business,1984000
878,878,73,Business,584000
879,879,129,Business,1032000
880,880,236,Economy,708000
881,881,57,Business,456000
882,882,140,Economy,420000
883,883,139,Economy,417000
884,884,144,Economy,432000
885,885,51,Economy,153000
886,886,90,Business,720000
887,887,233,Economy,699000
888,888,97,Business,776000
889,889,155,Economy,465000
890,890,71,Business,568000
891,891,146,Economy,438000
892,892,67,Business,536000
893,893,128,Economy,384000
894,894,218,Economy,654000
895,895,116,Business,928000
896,896,97,Business,776000
897,897,171,Business,1368000
898,898,72,Business,576000
899,899,160,Economy,480000
900,900,179,Business,1432000
901,901,155,Economy,465000
902,902,53,Business,424000
903,903,203,Business,1624000
904,904,68,Economy,204000
905,905,98,Business,784000
906,906,123,Business,984000
907,907,102,Business,816000
908,908,183,Business,1464000
909,909,239,Business,1912000
910,910,178,Business,1424000
911,911,193,Business,1544000
912,912,229,Business,1832000
913,913,56,Business,448000
914,914,137,Business,1096000
915,915,84,Economy,252000
916,916,117,Business,936000
917,917,154,Business,1232000
918,918,192,Business,1536000
919,919,157,Business,1256000
920,920,234,Economy,702000
921,921,200,Business,1600000
922,922,127,Business,1016000
923,923,174,Economy,522000
924,924,151,Business,1208000
925,925,188,Business,1504000
926,926,181,Economy,543000
927,927,235,Economy,705000
928,928,217,Business,1736000
929,929,107,Business,856000
930,930,168,Business,1344000
931,931,137,Business,1096000
932,932,171,Business,1368000
933,933,116,Economy,348000
934,934,87,Business,696000
935,935,179,Economy,537000
936,936,136,Economy,408000
937,937,89,Business,712000
938,938,105,Business,840000
939,939,249,Business,1992000
940,940,84,Economy,252000
941,941,98,Economy,294000
942,942,156,Economy,468000
943,943,244,Business,1952000
944,944,145,Business,1160000
945,945,171,Economy,513000
946,946,144,Business,1152000
947,947,221,Economy,663000
948,948,80,Business,640000
949,949,174,Business,1392000
950,950,242,Business,1936000
951,951,125,Economy,375000
952,952,175,Economy,525000
953,953,195,Business,1560000
954,954,137,Economy,411000
955,955,85,Economy,255000
956,956,239,Economy,717000
957,957,206,Business,1648000
958,958,200,Business,1600000
959,959,52,Business,416000
960,960,79,Economy,237000
961,961,94,Economy,282000
962,962,226,Economy,678000
963,963,162,Economy,486000
964,964,171,Economy,513000
965,965,68,Economy,204000
966,966,241,Business,1928000
967,967,182,Business,1456000
968,968,105,Business,840000
969,969,211,Business,1688000
970,970,122,Economy,366000
971,971,152,Economy,456000
972,972,225,Economy,675000
973,973,75,Economy,225000
974,974,182,Business,1456000
975,975,137,Business,1096000
976,976,208,Business,1664000
977,977,73,Business,584000
978,978,134,Business,1072000
979,979,71,Economy,213000
980,980,151,Economy,453000
981,981,199,Business,1592000
982,982,106,Business,848000
983,983,207,Economy,621000
984,984,162,Business,1296000
985,985,96,Economy,288000
986,986,244,Economy,732000
987,987,216,Economy,648000
988,988,138,Business,1104000
989,989,243,Business,1944000
990,990,140,Economy,420000
991,991,206,Economy,618000
992,992,191,Economy,573000
993,993,53,Economy,159000
994,994,249,Economy,747000
995,995,54,Economy,162000
996,996,93,Economy,279000
997,997,140,Business,1120000
998,998,73,Economy,219000
999,999,77,Economy,231000
1000,1000,201,Business,1608000
1001,1001,177,Business,1416000
1002,1002,54,Economy,162000
1003,1003,62,Business,496000
1004,1004,104,Economy,312000
1005,1005,79,Economy,237000
1006,1006,151,Business,1208000
1007,1007,132,Economy,396000
1008,1008,226,Business,1808000
1009,1009,162,Business,1296000
1010,1010,131,Business,1048000
1011,1011,139,Business,1112000
1012,1012,64,Economy,192000
1013,1013,79,Economy,237000
1014,1014,77,Economy,231000
1015,1015,181,Economy,543000
1016,1016,117,Business,936000
1017,1017,150,Business,1200000
1018,1018,192,Business,1536000
1019,1019,83,Business,664000
1020,1020,148,Economy,444000
1021,1021,220,Business,1760000
1022,1022,110,Business,880000
1023,1023,240,Business,1920000
1024,1024,51,Business,408000
1025,1025,167,Business,1336000
1026,1026,101,Economy,303000
1027,1027,101,Economy,303000
1028,1028,64,Economy,192000
1029,1029,217,Business,1736000
1030,1030,77,Business,616000
1031,1031,145,Business,1160000
1032,1032,147,Business,1176000
1033,1033,104,Economy,312000
1034,1034,227,Economy,681000
1035,1035,71,Business,568000
1036,1036,206,Business,1648000
1037,1037,121,Economy,363000
1038,1038,189,Economy,567000
1039,1039,87,Economy,261000
1040,1040,169,Business,1352000
1041,1041,51,Business,408000
1042,1042,189,Business,1512000
1043,1043,232,Economy,696000
1044,1044,175,Business,1400000
1045,1045,189,Business,1512000
1046,1046,158,Economy,474000
1047,1047,58,Economy,174000
1048,1048,81,Economy,243000
1049,1049,122,Business,976000
1050,1050,185,Business,1480000
1051,1051,165,Economy,495000
1052,1052,205,Business,1640000
1053,1053,233,Business,1864000
1054,1054,131,Business,1048000
1055,1055,156,Economy,468000
1056,1056,85,Economy,255000
1057,1057,166,Economy,498000
1058,1058,214,Economy,642000
1059,1059,81,Business,648000
1060,1060,216,Business,1728000
1061,1061,98,Economy,294000
1062,1062,195,Economy,585000
1063,1063,72,Business,576000
1064,1064,82,Business,656000
1065,1065,161,Economy,483000
1066,1066,228,Business,1824000
1067,1067,220,Economy,660000
1068,1068,53,Business,424000
1069,1069,129,Economy,387000
1070,1070,244,Business,1952000
1071,1071,249,Economy,747000
1072,1072,174,Economy,522000
1073,1073,51,Business,408000
