Flight_ID,Date_Key,Airline_ID,Origin_Airport_ID,Dest_Airport_ID,Gate_ID,Delay_Reason_ID,Delay_Minutes,Flight_Status
49,359,1,1,3,23,3,45,Delayed
50,283,5,5,3,22,3,45,Delayed
51,207,1,3,3,32,3,45,Delayed
52,15,1,3,6,7,3,45,Delayed
53,346,5,1,5,22,1,0,On Time
54,42,2,1,4,44,5,10,Delayed
55,179,3,4,1,2,2,15,Delayed
56,63,3,5,1,14,2,15,Delayed
57,352,1,3,6,16,3,45,Delayed
58,231,5,4,3,24,3,45,Delayed
59,241,4,3,1,7,3,45,Delayed
60,52,2,1,6,4,4,25,Delayed
61,96,1,5,3,37,2,15,Delayed
62,222,3,2,4,46,3,45,Delayed
63,231,5,5,3,41,5,10,Delayed
64,237,5,6,4,5,4,25,Delayed
65,143,1,2,3,2,1,0,On Time
66,171,4,4,3,5,4,25,Delayed
67,29,3,2,1,3,4,25,Delayed
68,36,1,2,4,42,4,25,Delayed
69,13,4,4,5,8,5,10,Delayed
70,160,5,5,1,26,2,15,Delayed
71,327,2,4,3,10,3,45,Delayed
72,187,3,6,3,34,5,10,Delayed
73,243,3,1,5,46,5,10,Delayed
74,86,4,1,5,36,3,45,Delayed
75,284,1,2,3,12,4,25,Delayed
76,66,5,4,5,20,1,0,On Time
77,170,4,4,2,29,4,25,Delayed
78,45,2,4,1,14,4,25,Delayed
79,62,2,6,4,48,2,15,Delayed
80,134,2,6,5,5,4,25,Delayed
81,284,4,5,3,48,1,0,On Time
82,28,5,3,2,27,5,10,Delayed
83,108,3,3,4,4,4,25,Delayed
84,44,1,3,2,29,5,10,Delayed
85,340,3,5,4,3,2,15,Delayed
86,286,5,4,1,33,1,0,On Time
87,331,3,3,5,30,3,45,Delayed
88,128,4,4,1,36,3,45,Delayed
89,348,2,2,4,9,2,15,Delayed
90,231,5,3,5,1,1,0,On Time
91,190,5,2,3,48,5,10,Delayed
92,225,3,5,3,23,2,15,Delayed
93,283,4,1,2,3,4,25,Delayed
94,121,3,6,3,32,5,10,Delayed
95,116,3,5,2,24,4,25,Delayed
96,233,5,5,4,6,4,25,Delayed
97,259,3,5,1,13,5,10,Delayed
98,359,2,3,3,49,4,25,Delayed
99,198,3,2,4,15,3,45,Delayed
100,137,2,6,1,30,5,10,Delayed
101,318,5,3,1,12,2,15,Delayed
102,165,4,1,5,40,3,45,Delayed
103,225,2,6,5,48,2,15,Delayed
104,307,4,5,3,35,1,0,On Time
105,234,4,4,3,28,2,15,Delayed
106,172,2,1,3,4,5,10,Delayed
107,152,5,2,1,7,2,15,Delayed
108,315,1,1,3,47,1,0,On Time
109,160,4,3,1,43,4,25,Delayed
110,96,4,4,3,16,5,10,Delayed
111,233,5,3,2,22,3,45,Delayed
112,180,5,6,1,46,3,45,Delayed
113,113,3,5,1,45,2,15,Delayed
114,318,5,5,4,41,3,45,Delayed
115,52,4,1,5,25,1,0,On Time
116,268,2,5,6,50,3,45,Delayed
117,295,1,5,3,3,2,15,Delayed
118,113,3,6,5,22,3,45,Delayed
119,101,2,2,1,31,4,25,Delayed
120,113,1,2,1,37,4,25,Delayed
121,81,1,3,3,22,3,45,Delayed
122,187,1,3,3,27,5,10,Delayed
123,113,2,2,3,2,3,45,Delayed
124,2,3,1,2,22,4,25,Delayed
125,130,3,2,6,17,4,25,Delayed
126,220,1,3,3,48,1,0,On Time
127,54,2,4,1,20,2,15,Delayed
128,343,1,5,4,24,1,0,On Time
129,224,5,6,3,45,5,10,Delayed
130,225,3,4,1,31,2,15,Delayed
131,126,4,4,3,43,3,45,Delayed
132,130,1,5,3,8,3,45,Delayed
133,53,5,2,3,5,5,10,Delayed
134,172,3,1,6,2,4,25,Delayed
135,218,2,4,5,4,3,45,Delayed
136,160,3,1,3,35,1,0,On Time
137,198,2,6,5,34,4,25,Delayed
138,247,2,6,3,3,3,45,Delayed
139,324,1,6,5,48,4,25,Delayed
140,203,1,3,6,20,2,15,Delayed
141,184,3,4,3,9,3,45,Delayed
142,123,5,6,5,6,3,45,Delayed
143,255,3,3,6,47,4,25,Delayed
144,294,4,6,5,5,2,15,Delayed
145,280,2,2,3,41,1,0,On Time
146,325,2,4,3,38,2,15,Delayed
147,98,1,3,1,35,1,0,On Time
148,198,5,6,3,31,5,10,Delayed
149,240,1,3,5,13,2,15,Delayed
150,144,4,6,4,26,1,0,On Time
151,97,3,2,1,22,4,25,Delayed
152,201,3,1,4,32,1,0,On Time
153,124,5,6,3,15,5,10,Delayed
154,187,1,1,2,11,1,0,On Time
155,326,1,4,6,16,2,15,Delayed
156,349,4,2,6,47,1,0,On Time
157,259,3,4,1,6,2,15,Delayed
158,148,1,1,3,46,5,10,Delayed
159,252,5,2,5,11,1,0,On Time
160,346,3,5,3,10,1,0,On Time
161,147,4,2,6,16,5,10,Delayed
162,148,5,2,1,12,1,0,On Time
163,352,2,5,6,7,2,15,Delayed
164,199,4,3,6,39,3,45,Delayed
165,308,5,3,1,27,3,45,Delayed
166,128,1,3,2,24,2,15,Delayed
167,39,2,1,2,50,1,0,On Time
168,338,4,2,6,15,2,15,Delayed
169,360,1,6,2,6,5,10,Delayed
170,129,2,5,6,19,2,15,Delayed
171,267,3,6,5,8,3,45,Delayed
172,151,1,1,3,47,4,25,Delayed
173,298,5,5,6,36,5,10,Delayed
174,99,4,6,2,50,1,0,On Time
175,263,2,1,2,13,2,15,Delayed
176,252,1,1,4,33,5,10,Delayed
177,144,3,1,4,32,3,45,Delayed
178,346,4,5,2,28,1,0,On Time
179,112,4,6,5,40,2,15,Delayed
180,60,1,6,3,49,2,15,Delayed
181,2,3,4,6,10,1,0,On Time
182,304,2,1,4,33,4,25,Delayed
183,254,1,3,6,1,4,25,Delayed
184,140,2,2,4,21,5,10,Delayed
185,37,4,4,1,5,2,15,Delayed
186,160,2,4,1,1,5,10,Delayed
187,9,3,5,2,21,1,0,On Time
188,233,5,4,1,25,5,10,Delayed
189,99,3,6,1,20,2,15,Delayed
190,147,2,5,3,45,4,25,Delayed
191,304,1,5,3,9,4,25,Delayed
192,208,4,3,2,16,1,0,On Time
193,131,5,1,3,28,3,45,Delayed
194,152,1,4,2,40,5,10,Delayed
195,54,1,1,5,46,1,0,On Time
196,120,3,1,2,49,4,25,Delayed
197,161,2,1,6,36,2,15,Delayed
198,116,3,5,6,39,2,15,Delayed
199,75,2,1,6,49,3,45,Delayed
200,113,3,4,1,24,3,45,Delayed
201,104,1,5,3,16,4,25,Delayed
202,340,4,4,3,14,3,45,Delayed
203,254,2,5,3,48,3,45,Delayed
204,227,5,2,4,34,2,15,Delayed
205,112,5,2,3,24,5,10,Delayed
206,99,1,2,6,47,2,15,Delayed
207,153,3,2,6,11,2,15,Delayed
208,349,3,5,4,45,4,25,Delayed
209,338,1,1,3,36,4,25,Delayed
210,194,5,3,3,1,5,10,Delayed
211,310,5,6,5,47,1,0,On Time
212,163,3,3,4,12,3,45,Delayed
213,208,2,2,3,21,3,45,Delayed
214,169,4,1,3,9,2,15,Delayed
215,161,2,4,5,39,2,15,Delayed
216,68,5,1,5,3,5,10,Delayed
217,289,2,4,1,16,3,45,Delayed
218,277,4,3,3,4,2,15,Delayed
219,304,2,1,2,26,2,15,Delayed
220,135,2,1,3,46,4,25,Delayed
221,195,2,6,4,13,1,0,On Time
222,128,2,3,4,20,5,10,Delayed
223,33,1,1,3,19,1,0,On Time
224,176,5,4,6,27,1,0,On Time
225,22,4,1,4,2,5,10,Delayed
226,238,5,4,2,10,3,45,Delayed
227,158,1,2,6,25,2,15,Delayed
228,38,1,1,2,19,5,10,Delayed
229,230,1,4,5,15,2,15,Delayed
230,365,1,3,4,39,4,25,Delayed
231,51,2,2,6,47,1,0,On Time
232,264,5,1,3,49,4,25,Delayed
233,283,3,6,3,24,1,0,On Time
234,27,4,4,5,16,3,45,Delayed
235,226,1,6,2,17,5,10,Delayed
236,277,5,1,5,16,3,45,Delayed
237,286,1,4,1,18,1,0,On Time
238,97,1,1,4,49,4,25,Delayed
239,284,1,2,3,4,1,0,On Time
240,317,1,2,3,2,3,45,Delayed
241,304,1,1,5,49,3,45,Delayed
242,147,4,1,3,49,4,25,Delayed
243,4,5,5,4,31,4,25,Delayed
244,35,1,1,3,2,3,45,Delayed
245,192,1,1,4,2,1,0,On Time
246,49,1,6,4,15,1,0,On Time
247,17,1,6,4,48,5,10,Delayed
248,172,2,2,5,43,3,45,Delayed
249,220,2,6,4,29,5,10,Delayed
250,158,3,1,3,34,3,45,Delayed
251,46,1,3,1,40,5,10,Delayed
252,6,3,1,3,32,2,15,Delayed
253,99,4,5,3,21,1,0,On Time
254,233,3,4,3,30,1,0,On Time
255,37,5,2,1,24,2,15,Delayed
256,280,2,6,5,44,4,25,Delayed
257,349,2,3,2,14,2,15,Delayed
258,302,1,4,2,28,1,0,On Time
259,181,1,3,2,14,3,45,Delayed
260,95,4,2,1,44,5,10,Delayed
261,99,4,6,3,34,1,0,On Time
262,188,5,5,1,14,2,15,Delayed
263,116,1,2,1,25,3,45,Delayed
264,191,1,3,1,12,1,0,On Time
265,253,4,3,2,41,2,15,Delayed
266,161,4,2,6,40,1,0,On Time
267,256,4,1,3,20,2,15,Delayed
268,323,2,2,6,48,2,15,Delayed
269,128,3,6,3,42,1,0,On Time
270,18,3,6,1,7,3,45,Delayed
271,281,1,5,3,15,1,0,On Time
272,223,2,2,6,9,1,0,On Time
273,54,4,4,3,4,3,45,Delayed
274,58,1,6,1,31,1,0,On Time
275,323,2,6,1,23,5,10,Delayed
276,360,5,6,1,6,5,10,Delayed
277,174,2,1,4,28,5,10,Delayed
278,280,1,4,3,12,2,15,Delayed
279,114,3,2,3,47,4,25,Delayed
280,288,4,1,5,22,1,0,On Time
281,342,5,6,3,24,4,25,Delayed
282,151,2,4,5,34,5,10,Delayed
283,127,1,4,1,19,3,45,Delayed
284,155,1,1,6,24,5,10,Delayed
285,273,4,6,1,20,1,0,On Time
286,104,1,1,6,34,4,25,Delayed
287,299,1,3,2,47,4,25,Delayed
288,246,4,6,5,27,2,15,Delayed
289,176,5,1,3,44,3,45,Delayed
290,39,3,2,5,29,5,10,Delayed
291,170,3,6,2,1,3,45,Delayed
292,247,2,5,3,46,1,0,On Time
293,26,5,6,3,36,2,15,Delayed
294,355,2,3,3,43,5,10,Delayed
295,306,3,1,2,39,1,0,On Time
296,13,4,5,3,45,3,45,Delayed
297,316,1,3,1,46,2,15,Delayed
298,313,3,2,4,7,5,10,Delayed
299,36,5,6,4,43,3,45,Delayed
300,173,3,5,2,20,5,10,Delayed
301,20,5,1,4,20,2,15,Delayed
302,321,5,1,3,25,2,15,Delayed
303,264,5,2,3,43,3,45,Delayed
304,142,2,3,1,21,5,10,Delayed
305,143,4,5,1,9,4,25,Delayed
306,92,3,2,3,27,1,0,On Time
307,354,4,3,4,28,2,15,Delayed
308,322,1,4,3,25,5,10,Delayed
309,288,3,4,1,36,3,45,Delayed
310,215,4,3,3,34,3,45,Delayed
311,342,4,1,6,2,2,15,Delayed
312,51,1,1,4,9,2,15,Delayed
313,153,5,4,3,19,4,25,Delayed
314,186,3,1,4,15,3,45,Delayed
315,63,3,1,6,21,5,10,Delayed
316,190,1,3,2,50,1,0,On Time
317,125,5,6,5,16,1,0,On Time
318,150,3,3,1,2,4,25,Delayed
319,314,3,1,2,26,5,10,Delayed
320,58,3,3,4,44,1,0,On Time
321,342,5,5,6,29,1,0,On Time
322,305,1,4,1,33,5,10,Delayed
323,180,3,6,5,34,5,10,Delayed
324,170,4,5,3,46,2,15,Delayed
325,326,5,5,6,27,1,0,On Time
326,271,2,1,6,7,1,0,On Time
327,54,1,1,4,49,4,25,Delayed
328,101,4,5,1,15,2,15,Delayed
329,264,3,5,4,17,2,15,Delayed
330,53,2,2,5,9,1,0,On Time
331,60,1,2,3,13,3,45,Delayed
332,108,5,4,2,32,3,45,Delayed
333,5,2,5,3,2,5,10,Delayed
334,103,2,3,5,32,2,15,Delayed
335,196,4,6,5,47,1,0,On Time
336,262,1,2,4,20,1,0,On Time
337,365,4,1,3,43,1,0,On Time
338,350,4,5,6,19,4,25,Delayed
339,47,3,3,3,46,3,45,Delayed
340,355,5,6,1,27,4,25,Delayed
341,311,2,3,4,36,1,0,On Time
342,308,1,3,6,30,1,0,On Time
343,144,5,1,6,11,2,15,Delayed
344,269,5,2,3,16,2,15,Delayed
345,124,1,3,1,26,3,45,Delayed
346,106,5,6,3,30,5,10,Delayed
347,158,3,2,3,2,1,0,On Time
348,147,5,4,5,34,2,15,Delayed
349,145,3,1,4,41,3,45,Delayed
350,120,2,2,3,22,4,25,Delayed
351,319,2,2,5,31,1,0,On Time
352,275,4,3,6,21,5,10,Delayed
353,92,3,6,3,36,3,45,Delayed
354,58,2,3,2,40,5,10,Delayed
355,346,5,6,1,23,1,0,On Time
356,229,1,1,2,26,3,45,Delayed
357,117,1,2,4,18,2,15,Delayed
358,318,3,5,4,15,5,10,Delayed
359,279,4,6,3,34,4,25,Delayed
360,127,5,6,2,22,4,25,Delayed
361,129,3,3,1,28,5,10,Delayed
362,58,1,3,6,43,1,0,On Time
363,122,3,4,3,49,1,0,On Time
364,1,5,6,1,7,1,0,On Time
365,239,2,1,5,40,4,25,Delayed
366,290,5,2,3,42,4,25,Delayed
367,96,2,2,1,24,2,15,Delayed
368,126,2,2,3,35,1,0,On Time
369,118,2,6,5,13,4,25,Delayed
370,48,3,3,1,49,4,25,Delayed
371,89,1,1,3,13,1,0,On Time
372,237,3,2,6,31,1,0,On Time
373,272,1,6,5,19,4,25,Delayed
374,189,5,5,2,29,5,10,Delayed
375,192,4,4,1,22,4,25,Delayed
376,69,5,4,6,41,2,15,Delayed
377,278,3,2,1,21,3,45,Delayed
378,349,3,3,6,16,1,0,On Time
379,247,1,4,3,30,2,15,Delayed
380,76,3,4,2,5,5,10,Delayed
381,154,2,4,1,41,3,45,Delayed
382,144,3,4,5,41,4,25,Delayed
383,86,1,2,3,6,1,0,On Time
384,185,1,6,5,21,4,25,Delayed
385,285,2,1,2,42,2,15,Delayed
386,220,1,1,4,50,1,0,On Time
387,69,4,3,4,11,4,25,Delayed
388,47,5,6,4,24,1,0,On Time
389,94,3,5,6,28,2,15,Delayed
390,238,4,1,5,15,4,25,Delayed
391,204,3,5,3,39,3,45,Delayed
392,218,4,1,3,46,5,10,Delayed
393,341,3,1,6,40,4,25,Delayed
394,39,2,3,1,47,1,0,On Time
395,100,1,4,6,19,4,25,Delayed
396,289,1,3,3,50,1,0,On Time
397,254,2,1,3,17,2,15,Delayed
398,222,4,6,1,3,5,10,Delayed
399,357,5,4,5,3,1,0,On Time
400,23,4,6,5,39,4,25,Delayed
401,250,1,6,2,28,2,15,Delayed
402,10,5,6,5,31,3,45,Delayed
403,246,3,4,3,42,4,25,Delayed
404,325,5,6,4,49,5,10,Delayed
405,100,4,4,2,47,2,15,Delayed
406,290,2,5,3,8,4,25,Delayed
407,180,3,1,2,17,1,0,On Time
408,223,4,2,1,35,1,0,On Time
409,250,3,6,2,36,1,0,On Time
410,147,5,3,2,27,4,25,Delayed
411,96,1,5,6,40,5,10,Delayed
412,257,4,3,4,45,1,0,On Time
413,325,2,2,1,33,4,25,Delayed
414,4,5,4,6,50,4,25,Delayed
415,16,4,2,1,11,5,10,Delayed
416,280,2,3,2,21,2,15,Delayed
417,336,4,2,6,6,2,15,Delayed
418,247,5,1,6,48,4,25,Delayed
419,258,4,2,1,21,2,15,Delayed
420,160,3,6,1,28,3,45,Delayed
421,340,5,1,5,17,5,10,Delayed
422,152,4,6,1,18,4,25,Delayed
423,178,1,2,6,11,2,15,Delayed
424,163,4,1,3,46,2,15,Delayed
425,33,3,1,3,44,5,10,Delayed
426,179,2,2,4,25,1,0,On Time
427,101,2,5,3,30,2,15,Delayed
428,268,2,4,3,25,5,10,Delayed
429,323,1,4,3,7,1,0,On Time
430,65,3,4,3,49,4,25,Delayed
431,168,5,1,5,37,1,0,On Time
432,330,2,4,2,46,2,15,Delayed
433,43,3,1,6,27,4,25,Delayed
434,44,4,5,6,26,4,25,Delayed
435,285,1,2,1,13,1,0,On Time
436,12,3,2,6,24,4,25,Delayed
437,95,3,1,3,12,1,0,On Time
438,302,5,1,6,14,1,0,On Time
439,253,3,5,3,9,1,0,On Time
440,242,5,4,2,31,5,10,Delayed
441,35,1,5,3,4,2,15,Delayed
442,215,1,2,3,19,4,25,Delayed
443,337,4,2,3,1,3,45,Delayed
444,90,5,6,2,29,2,15,Delayed
445,264,5,4,3,45,3,45,Delayed
446,93,2,2,3,6,1,0,On Time
447,90,2,6,3,1,4,25,Delayed
448,115,4,1,5,25,2,15,Delayed
449,105,1,2,3,27,3,45,Delayed
450,196,2,3,3,22,3,45,Delayed
451,314,3,4,3,17,3,45,Delayed
452,114,1,6,3,29,2,15,Delayed
453,75,3,4,1,3,5,10,Delayed
454,217,5,4,1,17,1,0,On Time
455,277,1,3,2,2,4,25,Delayed
456,249,4,5,6,32,3,45,Delayed
457,164,5,1,5,22,2,15,Delayed
458,357,5,4,6,39,3,45,Delayed
459,192,3,2,3,33,2,15,Delayed
460,227,5,1,4,22,5,10,Delayed
461,177,2,2,4,47,3,45,Delayed
462,99,1,1,5,4,3,45,Delayed
463,36,2,1,5,38,4,25,Delayed
464,96,3,6,5,13,2,15,Delayed
465,152,3,2,1,23,2,15,Delayed
466,151,1,2,1,13,5,10,Delayed
467,190,5,1,4,20,3,45,Delayed
468,224,4,4,5,33,4,25,Delayed
469,37,3,2,3,34,1,0,On Time
470,268,1,3,6,38,4,25,Delayed
471,183,4,3,4,29,4,25,Delayed
472,13,5,1,5,32,4,25,Delayed
473,279,3,5,3,11,4,25,Delayed
474,217,1,1,5,18,3,45,Delayed
475,355,1,1,2,45,4,25,Delayed
476,361,1,4,3,21,2,15,Delayed
477,286,3,4,6,12,2,15,Delayed
478,273,4,6,2,39,4,25,Delayed
479,62,1,5,1,20,2,15,Delayed
480,84,5,5,4,7,3,45,Delayed
481,217,1,5,3,27,1,0,On Time
482,342,4,5,4,7,4,25,Delayed
483,187,3,5,6,2,2,15,Delayed
484,19,1,1,5,43,2,15,Delayed
485,177,1,1,2,33,3,45,Delayed
486,100,5,6,3,21,3,45,Delayed
487,233,5,3,3,29,1,0,On Time
488,76,1,3,5,32,5,10,Delayed
489,265,1,6,2,45,5,10,Delayed
490,284,5,6,5,12,5,10,Delayed
491,206,4,2,5,13,1,0,On Time
492,223,2,1,5,39,4,25,Delayed
493,52,2,5,3,44,5,10,Delayed
494,339,1,2,6,49,5,10,Delayed
495,144,5,4,5,40,2,15,Delayed
496,69,3,1,3,3,2,15,Delayed
497,99,3,6,1,39,4,25,Delayed
498,25,2,3,2,8,3,45,Delayed
499,53,4,1,3,46,1,0,On Time
500,151,2,6,5,46,5,10,Delayed
501,144,1,1,3,2,1,0,On Time
502,57,4,1,2,6,2,15,Delayed
503,39,3,1,4,48,1,0,On Time
504,109,5,4,2,41,2,15,Delayed
505,181,5,3,2,15,1,0,On Time
506,42,1,1,5,47,2,15,Delayed
507,186,2,6,1,12,1,0,On Time
508,223,1,4,1,41,5,10,Delayed
509,122,5,2,4,48,5,10,Delayed
510,133,3,1,5,32,4,25,Delayed
511,163,5,4,2,6,1,0,On Time
512,215,4,5,6,27,3,45,Delayed
513,221,5,2,1,47,4,25,Delayed
514,235,5,3,1,13,1,0,On Time
515,331,4,1,3,23,3,45,Delayed
516,146,2,1,2,10,5,10,Delayed
517,239,5,4,5,14,5,10,Delayed
518,76,1,3,1,3,5,10,Delayed
519,9,5,5,3,12,3,45,Delayed
520,74,1,2,3,25,2,15,Delayed
521,253,4,6,2,1,1,0,On Time
522,230,5,3,1,32,4,25,Delayed
523,7,4,1,4,24,4,25,Delayed
524,174,4,4,5,48,5,10,Delayed
525,141,2,5,3,42,2,15,Delayed
526,168,5,4,3,9,1,0,On Time
527,170,1,2,3,50,1,0,On Time
528,283,1,3,2,1,4,25,Delayed
529,122,5,4,1,42,4,25,Delayed
530,194,2,6,1,39,4,25,Delayed
531,5,2,6,1,10,1,0,On Time
532,29,2,4,3,44,4,25,Delayed
533,165,1,1,4,43,1,0,On Time
534,339,4,4,1,41,5,10,Delayed
535,136,2,5,1,30,2,15,Delayed
536,365,1,3,6,5,4,25,Delayed
537,321,1,2,1,4,1,0,On Time
538,342,4,6,3,45,5,10,Delayed
539,145,5,4,5,8,3,45,Delayed
540,327,5,5,4,16,5,10,Delayed
541,217,2,6,5,1,2,15,Delayed
542,301,2,6,3,49,5,10,Delayed
543,132,4,2,3,15,4,25,Delayed
544,292,2,6,2,24,4,25,Delayed
545,70,4,5,1,15,3,45,Delayed
546,252,1,6,3,50,1,0,On Time
547,275,2,6,5,6,5,10,Delayed
548,364,1,4,3,2,3,45,Delayed
549,182,3,4,3,5,4,25,Delayed
550,167,4,3,5,39,1,0,On Time
551,91,3,1,6,41,1,0,On Time
552,202,2,5,6,34,2,15,Delayed
553,346,1,1,5,39,4,25,Delayed
554,19,2,1,4,32,1,0,On Time
555,39,3,6,5,29,2,15,Delayed
556,126,2,2,5,29,2,15,Delayed
557,173,5,2,4,24,4,25,Delayed
558,141,3,6,3,46,1,0,On Time
559,242,2,5,6,31,1,0,On Time
560,220,1,1,4,24,5,10,Delayed
561,126,2,3,1,15,1,0,On Time
562,58,1,1,3,12,2,15,Delayed
563,148,5,2,1,20,3,45,Delayed
564,317,2,1,3,4,4,25,Delayed
565,361,5,4,2,13,3,45,Delayed
566,1,3,4,3,41,1,0,On Time
567,348,1,3,2,44,2,15,Delayed
568,190,3,5,3,10,3,45,Delayed
569,191,1,1,5,41,4,25,Delayed
570,312,5,4,3,23,5,10,Delayed
571,117,4,5,1,7,3,45,Delayed
572,134,2,4,3,12,5,10,Delayed
573,58,5,5,3,48,1,0,On Time
574,44,1,5,1,15,1,0,On Time
575,173,1,4,6,7,4,25,Delayed
576,160,1,6,3,8,5,10,Delayed
577,173,1,2,5,7,5,10,Delayed
578,317,2,5,6,43,4,25,Delayed
579,303,3,6,4,4,3,45,Delayed
580,149,4,1,6,50,4,25,Delayed
581,80,2,6,4,7,1,0,On Time
582,213,1,4,5,45,5,10,Delayed
583,203,2,6,2,41,2,15,Delayed
584,252,5,2,3,30,2,15,Delayed
585,229,1,4,6,18,1,0,On Time
586,164,4,3,6,30,5,10,Delayed
587,227,1,1,5,7,5,10,Delayed
588,147,4,3,5,48,4,25,Delayed
589,20,4,6,4,23,3,45,Delayed
590,47,3,5,1,37,4,25,Delayed
591,233,3,6,1,7,2,15,Delayed
592,305,2,5,1,38,5,10,Delayed
593,14,2,3,4,29,3,45,Delayed
594,143,4,3,1,34,4,25,Delayed
595,1,1,5,3,39,3,45,Delayed
596,54,5,2,3,41,2,15,Delayed
597,259,5,1,2,45,3,45,Delayed
598,144,1,4,2,49,5,10,Delayed
599,12,1,3,1,49,3,45,Delayed
600,330,3,1,2,47,3,45,Delayed
601,224,5,4,6,18,4,25,Delayed
602,272,4,6,1,47,3,45,Delayed
603,358,2,4,6,43,3,45,Delayed
604,156,3,3,5,25,2,15,Delayed
605,8,5,2,6,27,3,45,Delayed
606,122,1,2,5,27,4,25,Delayed
607,348,5,1,4,12,4,25,Delayed
608,164,4,6,4,23,5,10,Delayed
609,90,3,1,6,17,2,15,Delayed
610,136,1,5,3,44,1,0,On Time
611,186,4,2,5,7,5,10,Delayed
612,316,2,1,3,24,3,45,Delayed
613,178,3,5,3,7,2,15,Delayed
614,28,4,6,5,29,5,10,Delayed
615,220,4,4,1,28,4,25,Delayed
616,357,1,1,5,23,2,15,Delayed
617,41,2,5,3,10,2,15,Delayed
618,228,4,2,1,16,3,45,Delayed
619,192,3,4,5,43,2,15,Delayed
620,145,4,1,5,48,2,15,Delayed
621,201,5,2,5,34,1,0,On Time
622,212,3,4,3,25,3,45,Delayed
623,220,3,3,2,2,2,15,Delayed
624,240,4,2,5,50,2,15,Delayed
625,46,1,3,1,5,1,0,On Time
626,35,3,6,3,14,1,0,On Time
627,253,5,1,5,31,4,25,Delayed
628,82,1,5,4,40,3,45,Delayed
629,256,1,1,4,6,1,0,On Time
630,197,1,2,6,28,2,15,Delayed
631,303,3,3,5,9,1,0,On Time
632,10,1,3,3,6,5,10,Delayed
633,312,4,4,6,17,4,25,Delayed
634,286,1,1,2,40,4,25,Delayed
635,242,5,1,3,35,3,45,Delayed
636,251,2,2,1,12,4,25,Delayed
637,365,5,3,1,45,3,45,Delayed
638,5,3,2,1,18,5,10,Delayed
639,119,1,2,4,43,2,15,Delayed
640,289,1,6,2,34,5,10,Delayed
641,65,4,3,5,46,3,45,Delayed
642,146,1,2,5,1,3,45,Delayed
643,224,5,3,3,15,3,45,Delayed
644,239,3,2,5,18,2,15,Delayed
645,177,2,5,2,22,3,45,Delayed
646,267,1,2,5,18,5,10,Delayed
647,341,2,2,4,49,2,15,Delayed
648,282,1,5,6,1,5,10,Delayed
649,63,3,1,5,46,2,15,Delayed
650,217,5,3,1,20,3,45,Delayed
651,342,3,4,1,48,2,15,Delayed
652,315,2,5,6,36,1,0,On Time
653,283,1,1,3,38,5,10,Delayed
654,177,2,2,1,25,1,0,On Time
655,98,5,6,4,16,1,0,On Time
656,105,3,1,4,20,3,45,Delayed
657,99,2,5,4,38,3,45,Delayed
658,311,2,6,5,47,1,0,On Time
659,6,5,2,6,33,2,15,Delayed
660,197,1,1,3,7,3,45,Delayed
661,351,2,4,3,23,5,10,Delayed
662,133,5,3,6,11,1,0,On Time
663,358,1,3,3,33,5,10,Delayed
664,259,1,5,1,40,5,10,Delayed
665,23,3,2,3,46,5,10,Delayed
666,53,5,2,6,5,1,0,On Time
